Wine Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL,volume,volume_unit,type,ageing,seasons,food_type,course,soil_type,vintage,tasting_notes,Food 1,Grape and Food Type 1,Tasting Notes 1,Food & Wine Acidity 1,Regional Pairing 1,Sweetness & Spiciness 1,Food 2,Grape and Food Type 2,Tasting Notes 2,Food & Wine Acidity 2,Regional Pairing 2,Sweetness & Spiciness 2,Food 3,Grape and Food Type 3,Tasting Notes 3,Food & Wine Acidity 3,Regional Pairing 3,Sweetness & Spiciness 3
2004-chateau-mouton-rothschild-pauillac,,,,,,,,750 ml,ml,red,aged in oak barrels for 18 months,"spring, summer","beef, lamb",main course,gravelly soils,2004,"dark fruit, spice, complex minerality",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats.,s complement the roasted garlic.,Moderate acidity cuts through fattiness without overpowering the dish.,Traditional pairings for bold red wines from Bordeaux.,,Braised Short Ribs with Earthy Mushroom Risotto,Rich and full-bodied red wines complement hearty meats.,s complement the mushroom's earthy undertones.,Moderate acidity cuts through the richness without overpowering the dish.,Traditional pairings for bold red wines from Bordeaux or Tuscany.,,Pan-Seared Duck Breast with Cherry Compote and Arugula Salad,Fruity reds complement the richness of game meats.,s complement the cherry compote's sweet-tart flavors.,Moderate acidity cuts through the richness without overpowering the dish.,Traditional pairings for fruity and spicy red wines from Italy or Spain.,
2021-pavillon-rouge-du-chateau-margaux-margaux,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2020,"dark fruit, spice, and leather notes complement rich meats.",Grilled Steak with Garlic Butter,Full-bodied reds match the richness of grilled meats.,Dark fruit and spice in wine complement the herbs and garlic in the butter.,Moderate acidity cuts through the fattiness of the steak.,Traditional pairings for red Bordeaux with grilled meats.,Not applicable; leans savory and rich.,Roasted Vegetable Tartine,Fruity reds complement earthy vegetables.,Red fruit notes in wine match the sweetness of roasted vegetables.,High acidity balances the richness of the tartine.,Southern French wines pair well with roasted vegetables.,Minimal sweetness and no spice; leans savory and fresh.,Pan-Seared Duck Breast with Cherry Compote,"Rich, full-bodied reds complement the richness of duck.",Dark fruit and spice in wine complement the gaminess of the duck.,Moderate acidity cuts through the fattiness of the duck breast.,Traditional pairings for red Bordeaux with rich game meats.,Not applicable; leans savory and bold.
2021-aile-dargent-blanc-du-chateau-mouton-rothschild-bordeaux,,,,,,,,,,"The type of food being paired, such as poultry or dairy",,,,"When the food is usually served, such as main course or dessert",,,,Grilled Salmon with Lemon and Herbs,,,,,,Roasted Chicken with Garlic and Rosemary,,,,,,Goat Cheese Ravioli with Brown Butter and Sage,Why this dish matches the grape variety or wine type,A concise summary of the flavor profile of the wine that complements the food,"How acidic the food is, on a scale of 1-5 (1 being least acidic and 5 being most acidic)",If it's a traditional or regional pairing,Whether sweetness balances spice or bold flavors in the dish.
2008-chateau-haut-brion-blanc-pessac-leognan,,,,,,,,750 ml,,White,Aged in oak barrels with partial malolactic fermentation,Spring and summer,,Main course,,2008,,Grilled Shrimp with Lemon Butter,Crisp white wines complement the delicate flavors of seafood. The citrus notes in the wine pair nicely with the lemon butter sauce.,The acidity in the wine cuts through the richness of the butter and complements the seafood's subtle flavors.,,,,Roasted Chicken with Herbs,Off-dry white wines complement the herby flavors in roasted chicken. The wine's floral notes enhance the aroma of the herbs.,"The wine's acidity balances the richness of the chicken, while the floral notes complement the herbal flavors.",,,,Pan-Seared Fish with Lemon and Capers,"Crisp white wines pair well with delicate seafood flavors. The citrus notes in the wine complement the lemon and capers, while the acidity balances the richness of the fish.","The wine's floral notes enhance the aroma of the fish, while the acidity cuts through the richness of the dish.",,,
2019-chateau-haut-brion-blanc-pessac-leognan,,,,,,,,750 ml,ml,white wine,aged in oak barrels for 6 months,"spring, summer",seafood,main course,gravel and limestone,2019,"citrus, honey, toasted oak",Grilled Shrimp with Lemon Butter Sauce,Crisp acidity in the wine complements the richness of the shrimp.,The citrus notes in the wine enhance the lemon butter sauce.,High acidity balances the richness of the dish.,Mediterranean-style wines pair well with seafood.,Minimal sweetness and no spice in the wine.,Pan-Seared Duck Breast with Cherry Compote,"The rich, fruity flavors in the wine complement the duck breast.",The fruit notes in the wine enhance the cherry compote.,Moderate acidity balances the richness of the dish.,French wines pair well with poultry.,Minimal sweetness and no spice in the wine.,Roasted Beet Salad with Goat Cheese and Walnuts,The sweetness in the wine balances the earthy flavors of the beets.,The floral notes in the wine enhance the herbal flavors in the beet salad.,pair well with vegetable-based dishes.,,
2021-chateau-haut-brion-blanc-pessac-leognan,,,,,,,,750 ml,,White,Aged in stainless steel,Spring and summer,,Starter or main course,,2021,,Grilled Shrimp with Lemon Butter,Citrus and floral notes in the wine complement the richness of seafood.,"The wine's acidity cuts through the richness of the shrimp, while its fruit flavors enhance the lemon butter sauce.",High,Coastal French cuisine pairs well with crisp white wines.,Not applicable; lean savory and fresh.,Pan-Seared Halibut with Herbs,Off-dry white wines complement the delicate flavors of fish.,"The wine's floral and citrus notes enhance the herby flavors in the dish, while its acidity balances the richness of the fish.",Moderate,West Coast American cuisine favors crisp white wines with seafood.,Minimal sweetness keeps it fresh and savory.,Heirloom Tomato Salad with Burrata Cheese,Off-dry white wines complement the richness of creamy cheeses.,"The wine's floral and stone fruit notes enhance the sweetness of the tomatoes, while its acidity balances the richness of the burrata.",Moderate,Italian cuisine pairs well with crisp white wines and creamy cheeses.,Not applicable; lean savory and fresh.
2020-chateau-cos-destournel-saint-estephe,,,,,,,,750,ml,red,aged in oak barrels,"spring, summer","beef, lamb",main course,gravel,2020,"dark fruit, spice, leather, tobacco",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold meats.",Dark fruit and spice in wine balance the richness of the steak.,Moderate acidity cuts through fattiness.,Classical pairings for red Bordeaux.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Carrots and Turnips,The wine's fruit sweetness matches the lamb's richness.,Dark fruit and spice in wine complement lamb flavors.,High acidity balances the dish's richness.,Italian pairings with bold reds.,Moderate sweetness balances spice.,Pan-Seared Duck Breast with Wild Rice Pilaf and Steamed Broccoli,"Rich, full-bodied reds complement gamey meats.",Dark fruit and spice in wine balance the richness of the duck.,Moderate acidity cuts through fattiness.,Traditional pairings for red Bordeaux.,Not applicable; leans savory and bold.
1985-chateau-ducru-beaucaillou-saint-julien,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer",beef or lamb,main course,limestone and clay,1985,"dark fruit, spice, and leather notes complement rich meat dishes.",Grilled Steak with Roasted Garlic Mash,"Rich, full-bodied reds match bold meats.",Garlic and herbs in the mash complement the wine's spice notes.,Moderate acidity cuts through richness.,Hearty reds for grilled meats.,Minimal sweetness keeps it savory and bold.,Braised Short Ribs with Red Wine Glaze,"Rich, full-bodied reds complement beef's richness.",Wine's dark fruit and spice notes match meat's bold flavors.,Moderate acidity balances richness.,Traditional red wine pairings for hearty dishes.,Not applicable; leans savory and bold.,Roasted Veal Chops with Rosemary and Lemon,Off-dry reds complement herbaceous flavors.,Lemon and rosemary notes in the dish enhance wine's floral and spice profiles.,Moderate acidity cuts through richness.,Italian reds for herb-crusted meats.,Minimal sweetness keeps it savory and fresh.
2020-chateau-ducru-beaucaillou-saint-julien,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer",beef or lamb,main course,limestone and clay,2020,"dark fruit, spice, and leather notes complement rich meats.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement bold meats.,Garlicky richness in potatoes matches savory meat flavors.,Balances fattiness and richness.,Classical pairings with robust beef dishes.,Not applicable; leans savory and bold.,Pan-Seared Duck Breast with Cherry Compote,Fruit-forward reds complement gamey meats.,Cherry acidity cuts through rich duck fat.,High acidity balances sweet and savory flavors.,French pairings with poultry or game birds.,Minimal sweetness keeps it fresh and savory.,Braised Short Ribs with Carrot Top Pilaf,"Rich, full-bodied reds complement hearty meats.",Earthy and spice notes in the wine match the braised meat richness.,Balances fattiness and sweetness.,Traditional pairings with robust meat dishes.,Not applicable; leans savory and bold.
1985-chateau-ducru-beaucaillou-saint-julien-3,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"spring, summer","beef, lamb",main course,limestone and clay,1985,"dark fruit, spice, leather, tobacco",Grilled Steak with Rosemary and Garlic,Full-bodied red wine complements rich meats.,Spice and leather flavors match the boldness of grilled meat.,Balances the fattiness of grilled meat.,Traditional pairings in Bordeaux and Mediterranean cuisine.,Moderate sweetness offsets bold flavors.,Roasted Veal Chop with Lemon and Thyme,Off-dry red wine complements rich meats.,Citrus and floral notes enhance the herbs in roasted meat.,Cuts through any oily glaze.,Italian cuisine favors bold red wines with rich meats.,Minimal sweetness keeps it fresh and savory.,Braised Beef Short Ribs in Red Wine Sauce,"Rich, full-bodied red wine complements bold meats.",Dark fruit and spice flavors match the richness of braised meat.,Balances the fattiness of braised meat.,Traditional pairings in French cuisine with bold red wines.,
